location,bedroom number,bathroom number,size,rent price
"Block C, Bashundhara R-A",3,3,2000 sqft,"৳100,000"
"Block C, Khilgaon",3,3,1300 sqft,"৳24,000"
"Central Road, Dhanmondi",1,2,600 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,5,3700 sqft,"৳200,000"
"PC Culture Housing, Mohammadpur",3,3,1300 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,5,4233 sqft,"৳200,000"
"Humayun Road, Mohammadpur",5,6,2300 sqft,"৳65,000"
"Sector 11, Uttara",3,4,1500 sqft,"৳60,000"
"Mohammadia Housing Society, Mohammadpur",3,3,1315 sqft,"৳28,000"
"Block I, Bashundhara R-A",5,5,4200 sqft,"৳180,000"
"Sector 12, Uttara",3,2,1700 sqft,"৳65,000"
"Road No 11, Dhanmondi",3,3,2000 sqft,"৳60,000"
"Block I, Bashundhara R-A",4,4,2400 sqft,"৳50,000"
"Khilji Road, Mohammadpur",2,3,1300 sqft,"৳40,000"
"Sector 12, Uttara",2,2,950 sqft,"৳40,000"
"Road No 2A, Dhanmondi",3,3,1900 sqft,"৳60,000"
"Kalachandpur Main Road, Nadda",4,4,2400 sqft,"৳75,000"
"Mirpur Road, New Market",3,3,1650 sqft,"৳40,000"
"Block I, Bashundhara R-A",3,4,1880 sqft,"৳35,000"
"Sector 12, Uttara",3,4,2170 sqft,"৳50,000"
"Nobodoy Housing Society, Mohammadpur",3,3,1250 sqft,"৳22,500"
"PC Culture Housing, Mohammadpur",3,3,1300 sqft,"৳20,000"
"Sector 10, Uttara",3,4,1900 sqft,"৳40,000"
"Sector 11, Uttara",2,2,1090 sqft,"৳23,000"
"Block B, Bashundhara R-A",3,3,1650 sqft,"৳38,000"
"Block A, Bashundhara R-A",3,4,1650 sqft,"৳35,000"
"Narinda, Sutrapur",3,3,1450 sqft,"৳30,000"
"Iqbal Road, Mohammadpur",4,4,2150 sqft,"৳60,000"
"Mohammadi Housing LTD., Mohammadpur",3,2,1400 sqft,"৳22,000"
"PC Culture Housing, Mohammadpur",3,3,1200 sqft,"৳20,000"
"East Rampura, Rampura",3,3,1200 sqft,"৳25,000"
"Old Eskaton, Eskaton",3,4,1950 sqft,"৳45,000"
"Sector 10, Uttara",3,3,1500 sqft,"৳22,000"
"Block K, Baridhara",4,4,3000 sqft,"৳140,000"
"Block K, Baridhara",4,4,4000 sqft,"৳420,000"
"Block K, Baridhara",3,3,2600 sqft,"৳150,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳25,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳25,000"
"Block K, Baridhara",4,4,3600 sqft,"৳300,000"
"Lake Circus Road, Kalabagan",3,3,1500 sqft,"৳30,000"
"Bizlymoholla Road, Mohammadpur",3,2,1390 sqft,"৳25,000"
"Road No 2, Baridhara DOHS",3,2,1300 sqft,"৳40,000"
"Block E, Banasree",4,4,1700 sqft,"৳35,000"
"Middle Badda, Badda",3,2,1000 sqft,"৳21,000"
"Gulshan 2, Gulshan",5,5,3500 sqft,"৳300,000"
"Block E, Bashundhara R-A",3,3,1500 sqft,"৳27,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"West Kafrul, Taltola",3,4,1550 sqft,"৳30,000"
"Shahjadpur, Badda",3,3,1400 sqft,"৳28,000"
"Ashkona, Dakshin Khan",3,2,1100 sqft,"৳20,000"
"Block B, Aftab Nagar",3,3,1250 sqft,"৳25,000"
"Baitul Aman Housing Society, Adabor",3,4,1600 sqft,"৳23,000"
"Sector 6, Uttara",3,3,1800 sqft,"৳50,000"
"Nikunja 1, Nikunja",4,7,7000 sqft,"৳350,000"
"Block E, Bashundhara R-A",3,3,1510 sqft,"৳37,000"
"Block E, Bashundhara R-A",3,3,1480 sqft,"৳37,000"
"Block D, Bashundhara R-A",3,3,1250 sqft,"৳32,000"
"Gulshan 1, Gulshan",3,3,2750 sqft,"৳110,000"
"Block G, Bashundhara R-A",3,3,1650 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,2750 sqft,"৳200,000"
"Gulshan 2, Gulshan",4,4,2750 sqft,"৳200,000"
"Block D, Bashundhara R-A",4,4,2800 sqft,"৳50,000"
"Sector 6, Uttara",3,4,2000 sqft,"৳43,000"
"Gulshan 2, Gulshan",3,3,2800 sqft,"৳250,000"
"Gulshan 2, Gulshan",4,5,5000 sqft,"৳380,000"
"Block K, Baridhara",3,3,2882 sqft,"৳200,000"
"Gulshan 2, Gulshan",3,3,1600 sqft,"৳90,000"
"Block K, Baridhara",4,5,3800 sqft,"৳260,000"
"Block E, Bashundhara R-A",3,3,1600 sqft,"৳30,000"
"Tejkunipara, Tejgaon",3,3,1690 sqft,"৳53,000"
"Block H, Bashundhara R-A",3,3,1560 sqft,"৳23,000"
"Sector 14, Uttara",3,3,1600 sqft,"৳35,000"
"Block E, Aftab Nagar",3,3,1450 sqft,"৳25,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Sector 10, Uttara",3,3,1750 sqft,"৳60,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"Uttar Badda, Badda",3,3,1100 sqft,"৳25,000"
"Block C, Aftab Nagar",4,4,2340 sqft,"৳50,000"
"Nikunja 2, Nikunja",2,2,750 sqft,"৳21,000"
"Gopibag, Motijheel",3,3,1200 sqft,"৳30,000"
"Middle Badda, Badda",3,3,1300 sqft,"৳25,000"
"Block G, Banasree",3,2,1100 sqft,"৳22,000"
"PC Culture Housing, Mohammadpur",3,2,1100 sqft,"৳22,000"
"Sector 10, Uttara",3,3,1750 sqft,"৳60,000"
"Sector 10, Uttara",3,3,1750 sqft,"৳60,000"
"Block G, Bashundhara R-A",3,3,1600 sqft,"৳25,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Block G, Banasree",4,3,1650 sqft,"৳35,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Block B, Bashundhara R-A",3,4,2200 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Gulshan 2, Gulshan",4,5,3900 sqft,"৳320,000"
"Gulshan 2, Gulshan",4,5,3900 sqft,"৳320,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Block D, Bashundhara R-A",3,4,2270 sqft,"৳45,000"
"West Agargaon, Agargaon",3,3,1350 sqft,"৳22,000"
"Block F, Banasree",3,3,1450 sqft,"৳30,000"
"Boro Maghbazar, Maghbazar",3,3,1350 sqft,"৳25,000"
"Block D, Bashundhara R-A",4,4,2250 sqft,"৳45,000"
"Gulshan 1, Gulshan",4,4,3100 sqft,"৳100,000"
"Sector 11, Uttara",3,4,1800 sqft,"৳40,000"
"Naya Paltan, Motijheel",3,3,1325 sqft,"৳32,000"
"Shantibag, Malibagh",3,3,1000 sqft,"৳22,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"Block I, Bashundhara R-A",4,5,2500 sqft,"৳45,000"
"Lake Circus(Abed Dhali Road), Kalabagan",3,3,1100 sqft,"৳35,000"
"Tajmahal Road, Mohammadpur",3,2,900 sqft,"৳21,000"
"Purana Paltan, Motijheel",2,2,1050 sqft,"৳28,000"
"Shahjadpur, Badda",3,3,1300 sqft,"৳30,000"
"Sector 5, Uttara",3,3,1400 sqft,"৳26,000"
"Sector 5, Uttara",3,3,1400 sqft,"৳26,000"
"Sector 11, Uttara",2,2,900 sqft,"৳22,000"
"Shahjadpur, Badda",3,3,1350 sqft,"৳22,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Gulshan 2, Gulshan",3,3,2100 sqft,"৳70,000"
"Tajmahal Road, Mohammadpur",3,2,900 sqft,"৳21,000"
"Block H, Banasree",3,3,1100 sqft,"৳20,000"
"Sector 5, Uttara",3,3,1400 sqft,"৳26,000"
"Block F, Banasree",3,3,1220 sqft,"৳20,000"
"Kallyanpur, Mirpur",3,3,1250 sqft,"৳23,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳22,000"
"Middle Badda, Badda",3,3,1340 sqft,"৳30,000"
"Middle Badda, Badda",3,3,1340 sqft,"৳30,000"
"Taltola, Khilgaon",3,3,1600 sqft,"৳26,000"
"Sector 14, Uttara",3,4,1800 sqft,"৳36,000"
"Road No 4, Shyamoli",3,3,1300 sqft,"৳27,000"
"Block I, Bashundhara R-A",3,4,2400 sqft,"৳42,000"
"Paikpara, Mirpur",3,3,1350 sqft,"৳22,000"
"Block K, Baridhara",3,3,2300 sqft,"৳120,000"
"Block J, Banasree",4,4,1500 sqft,"৳30,000"
"Sector 9, Uttara",2,2,850 sqft,"৳24,000"
"Adarsh Nagar Road, Badda",3,3,1100 sqft,"৳22,000"
"Middle Badda, Badda",3,2,1100 sqft,"৳20,000"
"Uttar Badda, Badda",3,2,1050 sqft,"৳25,000"
"Baitul Aman Housing Society, Adabor",3,3,1250 sqft,"৳23,000"
"Block C, Aftab Nagar",3,3,1075 sqft,"৳20,000"
"Dhaka Housing Main Road, Shyamoli",3,3,1300 sqft,"৳22,000"
"Dhaka Housing Main Road, Shyamoli",3,3,1300 sqft,"৳22,000"
"Middle Badda, Badda",3,3,1350 sqft,"৳28,000"
"South Badda, Badda",3,3,1200 sqft,"৳32,000"
Agargaon,3,3,1250 sqft,"৳30,000"
"West Rampura, Rampura",3,3,1250 sqft,"৳30,000"
"PC Culture Housing, Mohammadpur",3,3,1350 sqft,"৳27,000"
"Sector 12, Uttara",3,3,1650 sqft,"৳55,000"
"Uttar Badda, Badda",3,3,1250 sqft,"৳26,000"
"PC Culture Housing, Mohammadpur",3,3,1250 sqft,"৳25,000"
"Sector 12, Uttara",3,4,1500 sqft,"৳30,000"
"Sector 12, Uttara",3,3,1500 sqft,"৳25,000"
"Block F, Aftab Nagar",3,3,1350 sqft,"৳22,000"
"Block F, Aftab Nagar",3,3,1350 sqft,"৳22,000"
"Uttar Badda, Badda",3,3,1000 sqft,"৳21,000"
"Gulshan 2, Gulshan",4,4,3400 sqft,"৳140,000"
"Nurer Chala, Badda",3,3,1200 sqft,"৳22,000"
"Malibag Bazar Rd, Malibagh",3,3,1550 sqft,"৳35,000"
"Block F, Banasree",3,3,1700 sqft,"৳30,000"
"Block D, Aftab Nagar",3,3,1600 sqft,"৳25,000"
"Kallyanpur, Mirpur",3,3,1510 sqft,"৳28,000"
"Nikunja 2, Nikunja",2,2,720 sqft,"৳20,000"
"Block D, Banasree",3,3,1500 sqft,"৳30,000"
"Block B, Banasree",3,3,1100 sqft,"৳25,000"
"Shantibag, Malibagh",3,3,1300 sqft,"৳35,000"
"Block M, Banasree",4,4,1860 sqft,"৳35,000"
"Middle Badda, Badda",3,3,1000 sqft,"৳40,000"
"West Rampura, Rampura",2,2,900 sqft,"৳25,000"
"Sector 4, Uttara",3,4,2300 sqft,"৳60,000"
"Block I, Bashundhara R-A",3,4,1700 sqft,"৳37,000"
"Block I, Bashundhara R-A",3,4,1700 sqft,"৳42,000"
"Block C, Bashundhara R-A",4,4,3500 sqft,"৳110,000"
"Amtola, Khilkhet",3,3,1150 sqft,"৳23,000"
"Greenway Road, Maghbazar",3,3,1456 sqft,"৳35,000"
"Gulshan 1, Gulshan",3,3,2500 sqft,"৳90,000"
"Block B, Banasree",3,2,1050 sqft,"৳20,000"
"West Rampura, Rampura",2,2,1000 sqft,"৳23,000"
"Sector 11, Uttara",4,4,2500 sqft,"৳60,000"
"Block F, Bashundhara R-A",3,3,1550 sqft,"৳40,000"
"Tejkunipara, Tejgaon",3,4,1580 sqft,"৳42,000"
"Gulshan 2, Gulshan",4,4,6800 sqft,"৳650,000"
"Sector 14, Uttara",3,2,1100 sqft,"৳26,000"
"Outer Circular Road, Maghbazar",3,4,1650 sqft,"৳40,000"
"Gulshan 1, Gulshan",3,3,2124 sqft,"৳110,000"
"Sector 4, Uttara",3,3,1700 sqft,"৳80,000"
"Block E, Banasree",3,3,1800 sqft,"৳35,000"
"Uttar Badda, Badda",3,2,1250 sqft,"৳22,000"
"Uttar Badda, Badda",3,2,1250 sqft,"৳22,000"
"East Rampura, Rampura",3,2,1200 sqft,"৳20,000"
"Uttar Badda, Badda",3,2,1250 sqft,"৳22,000"
"Block J, Banasree",3,3,1400 sqft,"৳28,000"
"Block K, Baridhara",3,4,4000 sqft,"৳320,000"
"Block E, Banasree",3,3,1250 sqft,"৳24,000"
"Block F, Banasree",3,3,1500 sqft,"৳30,000"
"Block A, Banasree",3,4,1764 sqft,"৳40,000"
"Sector 4, Uttara",3,4,2200 sqft,"৳60,000"
"Sector 12, Uttara",2,3,2300 sqft,"৳55,000"
"Nikunja 2, Nikunja",2,2,750 sqft,"৳21,000"
"Block L, Bashundhara R-A",3,3,1500 sqft,"৳25,000"
"Block L, Bashundhara R-A",3,3,1500 sqft,"৳25,000"
"Khilbari Tek, Badda",3,3,1200 sqft,"৳20,000"
"Khilbari Tek, Badda",3,3,1100 sqft,"৳20,000"
"Block D, Bashundhara R-A",3,3,2000 sqft,"৳45,000"
"Block D, Bashundhara R-A",3,3,2000 sqft,"৳45,000"
"Sector 11, Uttara",5,5,3300 sqft,"৳100,000"
"Block D, Bashundhara R-A",3,3,2000 sqft,"৳45,000"
"Sector 12, Uttara",3,4,2350 sqft,"৳60,000"
"Holy Lane, Shyamoli",3,3,1400 sqft,"৳23,000"
"Shahjadpur, Badda",4,3,1600 sqft,"৳30,000"
"Block K, Baridhara",3,4,2300 sqft,"৳130,000"
"Gulshan 1, Gulshan",3,3,2430 sqft,"৳130,000"
"Sector 9, Uttara",3,2,950 sqft,"৳55,000"
"Gulshan 1, Gulshan",4,4,4350 sqft,"৳350,000"
"Block K, Baridhara",3,3,2300 sqft,"৳130,000"
"Block K, Baridhara",4,4,3000 sqft,"৳190,000"
"Block K, Baridhara",4,4,4000 sqft,"৳380,000"
"Gulshan 2, Gulshan",4,5,5400 sqft,"৳420,000"
"Gulshan 2, Gulshan",4,5,5400 sqft,"৳420,000"
"Gulshan 2, Gulshan",4,4,3500 sqft,"৳260,000"
"Sector 12, Uttara",3,4,2373 sqft,"৳75,000"
"Road No 10, Baridhara",4,4,3000 sqft,"৳140,000"
"Block K, Baridhara",3,3,1700 sqft,"৳95,000"
"Block K, Baridhara",3,3,1700 sqft,"৳80,000"
"Block K, Baridhara",3,3,1700 sqft,"৳90,000"
"Block K, Baridhara",4,4,4000 sqft,"৳400,000"
"Block H, Bashundhara R-A",3,3,1550 sqft,"৳30,000"
"Block H, Bashundhara R-A",4,4,2500 sqft,"৳45,000"
"West Rampura, Rampura",5,5,2300 sqft,"৳40,000"
"Road No 13, Mohakhali DOHS",4,4,2600 sqft,"৳110,000"
"Gulshan 2, Gulshan",4,4,2900 sqft,"৳190,000"
"Iqbal Road, Mohammadpur",3,4,2088 sqft,"৳70,000"
"PC Culture Housing, Mohammadpur",2,2,850 sqft,"৳20,000"
"Sector 10, Uttara",3,3,1400 sqft,"৳25,000"
"Gulshan 2, Gulshan",4,4,4000 sqft,"৳400,000"
"Road No 2, Baridhara DOHS",3,3,1500 sqft,"৳45,000"
"1st Colony, Mirpur",3,3,1500 sqft,"৳30,000"
"Sector 7, Uttara",3,4,1800 sqft,"৳65,000"
"Gulshan 2, Gulshan",3,4,2400 sqft,"৳150,000"
"PC Culture Housing, Mohammadpur",3,3,1600 sqft,"৳40,000"
"Naya Paltan, Motijheel",3,4,1700 sqft,"৳55,000"
"Block F, Bashundhara R-A",4,4,2300 sqft,"৳50,000"
"Gulshan 1, Gulshan",3,3,2500 sqft,"৳150,000"
"Sector 12, Uttara",3,4,2200 sqft,"৳55,000"
"Block K, Baridhara",4,5,5000 sqft,"৳800,000"
"Block K, Baridhara",4,5,5000 sqft,"৳1,000,000"
"Block E, Bashundhara R-A",3,3,1510 sqft,"৳37,000"
"Block E, Bashundhara R-A",3,3,1510 sqft,"৳37,000"
"Block D, Bashundhara R-A",4,4,2300 sqft,"৳50,000"
"Mohammadi Housing LTD., Mohammadpur",3,3,1200 sqft,"৳26,000"
"Block K, Baridhara",4,4,3000 sqft,"৳190,000"
"Block L, Bashundhara R-A",3,4,1850 sqft,"৳23,000"
"Block K, Baridhara",4,4,3500 sqft,"৳220,000"
"Bishyo Shahityo Kendro Lane, Paribagh",5,5,4000 sqft,"৳110,000"
"Sector 6, Uttara",4,4,2900 sqft,"৳80,000"
"Block K, Bashundhara R-A",3,3,1450 sqft,"৳28,000"
"West Dhanmondi, Dhanmondi",3,4,1300 sqft,"৳35,000"
"PC Culture Housing, Mohammadpur",3,3,1500 sqft,"৳26,000"
"Tajmahal Road, Mohammadpur",3,3,1300 sqft,"৳40,000"
"Block D, Bashundhara R-A",3,3,2200 sqft,"৳100,000"
"Shekhertek, Mohammadpur",3,3,1410 sqft,"৳22,000"
"Malibagh First Lane, Malibagh",3,3,1450 sqft,"৳35,000"
"Malibagh Chowdhury Para, Malibagh",3,2,1150 sqft,"৳26,000"
"Sector 6, Uttara",3,4,2000 sqft,"৳50,000"
"Shahjahan Sir Road, Hazaribag",4,3,1876 sqft,"৳22,000"
"Block K, Baridhara",3,4,4000 sqft,"৳360,000"
"Road No 2, Shyamoli",3,3,1415 sqft,"৳30,000"
"Gulshan 1, Gulshan",3,3,2000 sqft,"৳100,000"
"Green Road, Kalabagan",3,2,1400 sqft,"৳30,000"
"Block I, Bashundhara R-A",3,3,2000 sqft,"৳35,000"
"Gulshan 2, Gulshan",3,4,2600 sqft,"৳100,000"
"Gulshan 1, Gulshan",3,3,1800 sqft,"৳80,000"
"Block J, Baridhara",3,4,2000 sqft,"৳45,000"
"Sector 13, Uttara",3,3,1400 sqft,"৳45,000"
"Mohammadia Housing Society, Mohammadpur",3,3,1370 sqft,"৳30,000"
"Baitul Aman Housing, Mohammadpur",3,3,1300 sqft,"৳20,000"
"Sector 6, Uttara",3,3,2450 sqft,"৳50,000"
"Block K, Baridhara",3,3,1700 sqft,"৳80,000"
"Sector 10, Uttara",3,4,1380 sqft,"৳25,000"
"Kallyanpur, Mirpur",4,3,1400 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,4,3200 sqft,"৳200,000"
"Babar Road, Mohammadpur",3,4,2200 sqft,"৳30,500"
"New Eskaton, Eskaton",3,4,1900 sqft,"৳50,000"
"Tajmahal Road, Mohammadpur",2,2,850 sqft,"৳20,000"
"Peer Saheber Goli, Shantinagar",3,3,1465 sqft,"৳30,000"
"Block D, Bashundhara R-A",4,4,2580 sqft,"৳45,000"
"Darussalam, Mirpur",3,3,1600 sqft,"৳25,000"
"West Rampura, Rampura",2,2,900 sqft,"৳25,000"
"West Dhanmondi, Dhanmondi",2,3,1000 sqft,"৳30,000"
"Block K, Baridhara",3,3,2800 sqft,"৳360,000"
"Block K, Baridhara",4,4,4000 sqft,"৳420,000"
"Mohammadi Housing LTD., Mohammadpur",2,3,1145 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,4,3750 sqft,"৳300,000"
"Gulshan 2, Gulshan",4,4,3750 sqft,"৳300,000"
"Nobodoy Housing Society, Mohammadpur",3,3,1250 sqft,"৳22,000"
"Gulshan 2, Gulshan",4,4,3850 sqft,"৳320,000"
"Baitul Aman Housing Society, Adabor",3,3,1200 sqft,"৳20,000"
"Block G, Bashundhara R-A",3,3,1530 sqft,"৳27,000"
"PC Culture Housing, Mohammadpur",3,2,900 sqft,"৳20,000"
"Road No 10, Baridhara",4,4,3000 sqft,"৳140,000"
"Nurjahan Road, Mohammadpur",2,2,700 sqft,"৳21,000"
"Block K, Baridhara",4,5,2800 sqft,"৳120,000"
"West Dhanmondi, Dhanmondi",3,3,1600 sqft,"৳50,000"
"Gulshan 2, Gulshan",3,3,2300 sqft,"৳130,000"
"Block A, Bashundhara R-A",3,4,1887 sqft,"৳38,000"
"Pirerbag, Mirpur",3,3,1300 sqft,"৳25,000"
"Kallyanpur, Mirpur",3,3,1250 sqft,"৳20,000"
"Baitul Aman Housing, Mohammadpur",3,3,1250 sqft,"৳20,000"
"Sector 14, Uttara",3,3,1500 sqft,"৳50,000"
"Sector 3, Uttara",3,3,1950 sqft,"৳150,000"
"Block K, Baridhara",3,3,3200 sqft,"৳110,000"
"Block G, Bashundhara R-A",3,4,1800 sqft,"৳60,000"
"Block E, Aftab Nagar",3,3,1450 sqft,"৳26,000"
"Sector 3, Uttara",3,3,1500 sqft,"৳35,000"
"Block F, Lalmatia",3,3,1600 sqft,"৳45,000"
"Block C, Bashundhara R-A",3,3,1215 sqft,"৳25,000"
"Sector 5, Uttara",3,4,2543 sqft,"৳70,000"
"Baitul Aman Housing Society, Adabor",3,3,1250 sqft,"৳20,000"
"Mansurabad Housing Society, Adabor",3,3,1500 sqft,"৳25,000"
"Sector 6, Uttara",3,3,2200 sqft,"৳65,000"
"Baitul Aman Housing Society, Adabor",3,3,1442 sqft,"৳25,000"
"Lake Circus Road, Kalabagan",3,3,1600 sqft,"৳40,000"
"1st Colony, Mirpur",3,3,1096 sqft,"৳20,000"
"Block E, Lalmatia",3,3,1400 sqft,"৳40,000"
"Block K, Baridhara",3,4,3000 sqft,"৳150,000"
"Section 1, Mirpur",4,4,1750 sqft,"৳28,000"
"Gulshan 1, Gulshan",4,4,3500 sqft,"৳180,000"
"Gulshan 2, Gulshan",5,5,5500 sqft,"৳290,000"
"Block E, Banasree",3,3,1400 sqft,"৳30,000"
"South Banasree Project, Banasree",4,3,2200 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,5000 sqft,"৳420,000"
"Block K, Bashundhara R-A",3,3,1450 sqft,"৳26,000"
"South Banasree Project, Banasree",4,3,2200 sqft,"৳31,000"
"Block D, Bashundhara R-A",4,4,2100 sqft,"৳45,000"
"Gulshan 2, Gulshan",4,4,2700 sqft,"৳150,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,5,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,4,4300 sqft,"৳220,000"
"Gulshan 1, Gulshan",4,5,4300 sqft,"৳220,000"
"Road No 2, Banani DOHS",5,5,4200 sqft,"৳320,000"
"Humayun Road, Mohammadpur",3,4,1400 sqft,"৳32,000"
"Gulshan 2, Gulshan",4,4,5200 sqft,"৳310,000"
"Baitul Aman Housing Society, Adabor",3,3,1360 sqft,"৳25,000"
"Ring Road, Shyamoli",3,3,1700 sqft,"৳35,000"
"Ring Road, Shyamoli",3,3,1700 sqft,"৳35,000"
"Road No 2, Shyamoli",3,4,1180 sqft,"৳22,000"
"New Eskaton Road, Eskaton",3,3,1525 sqft,"৳40,000"
"Dolphin Goli Road, Kalabagan",3,3,1500 sqft,"৳45,000"
"Lake Circus Road, Kalabagan",5,5,3000 sqft,"৳80,000"
"PC Culture Housing, Mohammadpur",3,3,1450 sqft,"৳22,000"
"Humayun Road, Mohammadpur",3,2,1200 sqft,"৳20,000"
"Tajmahal Road, Mohammadpur",3,3,1350 sqft,"৳40,000"
"Baitul Aman Housing Society, Adabor",3,3,1400 sqft,"৳27,000"
"Sector 12, Uttara",3,4,1950 sqft,"৳35,000"
"Sector 13, Uttara",3,4,2500 sqft,"৳70,000"
"Block D, Bashundhara R-A",3,3,1300 sqft,"৳60,000"
"Road No 7B, Banani",3,4,2100 sqft,"৳85,000"
"Gulshan 2, Gulshan",3,4,2200 sqft,"৳140,000"
"Block F, Aftab Nagar",3,4,1800 sqft,"৳25,000"
"Baitul Aman Housing Society, Adabor",3,3,1400 sqft,"৳22,000"
"Sector 9, Uttara",3,3,1450 sqft,"৳28,000"
"Mohonpur Road, Shyamoli",3,3,1100 sqft,"৳22,000"
"Gulshan 2, Gulshan",4,4,2900 sqft,"৳160,000"
"Kallyanpur, Mirpur",3,2,1250 sqft,"৳25,000"
"Block H, Aftab Nagar",3,3,1600 sqft,"৳26,000"
"Block M, Banasree",3,2,1150 sqft,"৳21,000"
"Block M, Banasree",3,2,1150 sqft,"৳21,000"
"Road No 2, Shyamoli",3,3,1500 sqft,"৳25,000"
"Section 1, Mirpur",3,3,1300 sqft,"৳20,000"
"Kallyanpur, Mirpur",3,3,1300 sqft,"৳20,000"
"Old Eskaton, Eskaton",3,3,1640 sqft,"৳45,000"
"Kallyanpur, Mirpur",3,3,1200 sqft,"৳22,000"
"Block E, Banasree",3,3,1400 sqft,"৳30,000"
"Block I, Bashundhara R-A",3,4,2000 sqft,"৳32,000"
