location,bedroom number,bathroom number,size,rent price
"Sector 11, Uttara",3,4,1850 sqft,"৳70,000"
"Gulshan 2, Gulshan",4,5,3500 sqft,"৳180,000"
"Darussalam, Mirpur",3,3,1200 sqft,"৳20,000"
"Block J, Baridhara",3,4,2000 sqft,"৳45,000"
"Sector 4, Uttara",3,3,2100 sqft,"৳70,000"
"Sector 4, Uttara",3,3,2100 sqft,"৳70,000"
"Baitul Aman Housing Society, Adabor",3,3,1200 sqft,"৳20,000"
"Gulshan 2, Gulshan",5,5,4200 sqft,"৳250,000"
"Mohammadi Housing LTD., Mohammadpur",3,4,2000 sqft,"৳35,000"
"Sector 18, Uttara",3,4,1654 sqft,"৳55,000"
"Road No 4, Baridhara",4,4,4000 sqft,"৳400,000"
"Road No 4, Baridhara",4,4,4000 sqft,"৳400,000"
"Road No 4, Baridhara",4,4,4000 sqft,"৳400,000"
"Sector 12, Uttara",3,4,2190 sqft,"৳70,000"
"Block E, Banasree",3,3,1350 sqft,"৳30,000"
"Section 12, Mirpur",3,3,1250 sqft,"৳25,000"
"Section 1, Mirpur",3,2,1300 sqft,"৳30,000"
"Section 2, Mirpur",3,3,1250 sqft,"৳26,000"
"Sector 12, Uttara",3,4,2290 sqft,"৳55,000"
"Gulshan 1, Gulshan",3,3,2350 sqft,"৳160,000"
Badda,2,2,1100 sqft,"৳35,000"
"Nobodoy Housing Society, Mohammadpur",3,3,1250 sqft,"৳20,000"
"Dhaka Housing Main Road, Shyamoli",3,3,1200 sqft,"৳20,000"
"Block J, Bashundhara R-A",3,3,2000 sqft,"৳36,000"
"Gulshan 1, Gulshan",3,4,3100 sqft,"৳120,000"
"Gulshan 2, Gulshan",3,3,2300 sqft,"৳130,000"
"Kazi Nazrul Islam Avenue, Banglamotors",2,3,1650 sqft,"৳30,000"
"North Adabor, Adabor",3,3,1400 sqft,"৳22,000"
"Gulshan 1, Gulshan",4,4,2440 sqft,"৳150,000"
"Gulshan 2, Gulshan",4,4,3600 sqft,"৳160,000"
"Shahjadpur, Badda",3,3,1370 sqft,"৳35,000"
"PC Culture Housing, Mohammadpur",2,2,750 sqft,"৳20,000"
"Sector 14, Uttara",2,2,1200 sqft,"৳100,000"
"Block D, Bashundhara R-A",2,2,1200 sqft,"৳60,000"
"Block F, Aftab Nagar",3,3,1450 sqft,"৳25,000"
"Gajanabi Road, Mohammadpur",3,4,1750 sqft,"৳40,000"
"Sector 12, Uttara",4,4,2385 sqft,"৳70,000"
"Shukrabad, Dhanmondi",3,2,1250 sqft,"৳30,000"
"Sher-E-Bangla Road, Hazaribag",3,3,1900 sqft,"৳40,000"
"Gulshan 2, Gulshan",3,3,2000 sqft,"৳100,000"
"Block D, Bashundhara R-A",3,3,1300 sqft,"৳40,000"
"Sector 6, Uttara",3,3,2500 sqft,"৳110,000"
"Block H, Bashundhara R-A",3,3,1508 sqft,"৳27,000"
"Sector 9, Uttara",3,3,1750 sqft,"৳40,000"
"Gulshan 2, Gulshan",3,4,5000 sqft,"৳330,000"
"Sector 10, Uttara",3,3,1500 sqft,"৳55,000"
"Block J, Bashundhara R-A",3,3,2450 sqft,"৳125,000"
"Block H, Bashundhara R-A",3,3,1600 sqft,"৳30,000"
"Iqbal Road, Mohammadpur",3,3,2088 sqft,"৳65,000"
"Block J, Bashundhara R-A",3,4,2500 sqft,"৳38,000"
"Block C, Aftab Nagar",3,2,1200 sqft,"৳35,000"
"Block A, Bashundhara R-A",3,5,2150 sqft,"৳33,000"
"Block I Extension, Bashundhara R-A",4,4,2350 sqft,"৳46,000"
"Block B, Bashundhara R-A",4,4,2250 sqft,"৳46,000"
"Sector 4, Uttara",3,4,2200 sqft,"৳45,000"
"East Nadda, Nadda",1,1,650 sqft,"৳50,000"
"Block D, Bashundhara R-A",3,3,2200 sqft,"৳45,000"
"Kazi Nazrul Islam Avenue, Banglamotors",3,4,2000 sqft,"৳40,000"
"Road No 4, Dhanmondi",3,3,1900 sqft,"৳60,000"
"Gulshan 2, Gulshan",4,5,4200 sqft,"৳210,000"
"Mymensingh Lane, Banglamotors",1,1,450 sqft,"৳21,000"
"Road No 9A, Dhanmondi",4,5,3500 sqft,"৳160,000"
"Gulshan 2, Gulshan",4,4,3000 sqft,"৳120,000"
"PC Culture Housing, Mohammadpur",4,3,2600 sqft,"৳70,000"
"Bakshi Bazar, Lalbagh",3,3,1250 sqft,"৳38,000"
"Block J, Bashundhara R-A",2,2,1200 sqft,"৳42,000"
"Mohammadi Housing LTD., Mohammadpur",3,2,1100 sqft,"৳20,000"
"Block F, Bashundhara R-A",4,3,2200 sqft,"৳45,000"
"Block I, Bashundhara R-A",3,4,1880 sqft,"৳35,000"
"Satmasjid Road, Dhanmondi",3,3,1750 sqft,"৳50,000"
"Free School Street, Kathalbagan",3,4,1600 sqft,"৳33,000"
"Doctor Goli, Maghbazar",4,4,1950 sqft,"৳35,000"
"Kazi Nazrul Islam Avenue, Banglamotors",3,3,1600 sqft,"৳30,000"
"Sector 11, Uttara",3,4,1500 sqft,"৳48,500"
"Block A, Bashundhara R-A",3,4,2250 sqft,"৳40,000"
"Road No 3, Dhanmondi",3,3,1850 sqft,"৳50,000"
"Gulshan 2, Gulshan",4,4,3750 sqft,"৳220,000"
"Gulshan 2, Gulshan",4,5,5200 sqft,"৳360,000"
"Block A, Banasree",3,2,900 sqft,"৳20,000"
"Sector 6, Uttara",3,4,1350 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,5000 sqft,"৳320,000"
"Block H, Bashundhara R-A",3,3,1600 sqft,"৳30,000"
"Gulshan 2, Gulshan",3,3,1500 sqft,"৳200,000"
"Gulshan 2, Gulshan",3,3,1500 sqft,"৳200,000"
"Narinda, Sutrapur",3,2,1100 sqft,"৳22,000"
"Mohammadi Housing LTD., Mohammadpur",3,2,1400 sqft,"৳23,000"
"Mohammadi Housing LTD., Mohammadpur",3,2,1400 sqft,"৳22,000"
"Mohammadi Housing LTD., Mohammadpur",3,2,1400 sqft,"৳22,000"
"Mohammadi Housing LTD., Mohammadpur",3,3,1100 sqft,"৳20,000"
"Bizlymoholla Road, Mohammadpur",3,2,1390 sqft,"৳22,000"
"Gulshan 2, Gulshan",5,5,7500 sqft,"৳700,000"
"Block H, Bashundhara R-A",3,4,2045 sqft,"৳40,000"
"Gulshan 2, Gulshan",4,4,3600 sqft,"৳350,000"
"Block D, Aftab Nagar",3,3,1600 sqft,"৳26,000"
"Block G, Bashundhara R-A",3,3,1500 sqft,"৳25,000"
"Block K, Baridhara",4,4,3500 sqft,"৳500,000"
"Block E, Aftab Nagar",3,3,1600 sqft,"৳30,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳25,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳25,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳25,000"
"Road No 8A, Dhanmondi",3,3,2700 sqft,"৳120,000"
"Section 1, Mirpur",4,4,1800 sqft,"৳26,000"
"Bizlymoholla Road, Mohammadpur",3,2,1390 sqft,"৳27,000"
"Middle Badda, Badda",3,3,1240 sqft,"৳22,000"
"Block C, Banasree",3,3,1700 sqft,"৳28,000"
"Uttar Badda, Badda",3,3,1250 sqft,"৳25,000"
"Kallyanpur, Mirpur",3,3,1250 sqft,"৳20,000"
"North Shahjahanpur, Shahjahanpur",3,3,2800 sqft,"৳40,000"
"West Malibag, Malibagh",2,3,900 sqft,"৳20,000"
"Block K, Baridhara",3,3,2750 sqft,"৳150,000"
"Green Road, Kathalbagan",3,4,1900 sqft,"৳32,000"
"Uttar Badda, Badda",3,3,1200 sqft,"৳20,000"
"Block B, Bashundhara R-A",3,4,1970 sqft,"৳38,000"
"Block B, Bashundhara R-A",3,3,2000 sqft,"৳45,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"Block E, Bashundhara R-A",3,3,1500 sqft,"৳27,000"
"Block B, Banasree",2,2,950 sqft,"৳23,000"
"Block C, Banasree",3,3,1385 sqft,"৳24,000"
"Block J, Banasree",3,2,950 sqft,"৳21,000"
"Block I, Bashundhara R-A",3,4,2100 sqft,"৳40,000"
"Block F, Banasree",3,3,1600 sqft,"৳25,000"
"Block C, Bashundhara R-A",4,4,3200 sqft,"৳130,000"
"Namapara, Khilkhet",3,3,1300 sqft,"৳20,000"
"Sector 14, Uttara",3,2,1000 sqft,"৳26,000"
"Block E, Aftab Nagar",3,3,1350 sqft,"৳24,000"
"Block G, Bashundhara R-A",3,3,1500 sqft,"৳30,000"
"Block E, Aftab Nagar",3,3,1450 sqft,"৳30,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Sector 10, Uttara",3,3,1750 sqft,"৳60,000"
"Block G, Aftab Nagar",3,3,1150 sqft,"৳25,000"
"Block C, Aftab Nagar",4,4,2300 sqft,"৳55,000"
"Naya Paltan, Motijheel",3,2,1000 sqft,"৳28,000"
"Block H, Bashundhara R-A",3,3,1500 sqft,"৳30,000"
"Block E, Bashundhara R-A",3,3,1510 sqft,"৳37,000"
"Block G, Banasree",3,3,1400 sqft,"৳25,000"
"Block C, Khilgaon",3,2,1200 sqft,"৳22,000"
"Block E, Aftab Nagar",3,3,1330 sqft,"৳26,000"
"Block B, Banasree",3,3,1100 sqft,"৳25,000"
"Malibagh Chowdhury Para, Malibagh",3,3,1250 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,2750 sqft,"৳200,000"
"Gulshan 2, Gulshan",4,4,2900 sqft,"৳180,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Middle Badda, Badda",3,3,1400 sqft,"৳25,000"
"North Shahjahanpur, Shahjahanpur",3,3,1200 sqft,"৳28,000"
"Uttar Badda, Badda",3,3,1250 sqft,"৳25,000"
"Sector 12, Uttara",2,3,1200 sqft,"৳20,000"
"Block G, Banasree",3,2,1100 sqft,"৳22,000"
"Gulshan 2, Gulshan",2,2,1800 sqft,"৳90,000"
"Block J, Bashundhara R-A",3,3,1250 sqft,"৳35,000"
"Block J, Bashundhara R-A",3,3,1250 sqft,"৳35,000"
"Tejkunipara, Tejgaon",3,3,1680 sqft,"৳48,000"
"Sector 6, Uttara",3,3,1800 sqft,"৳50,000"
"Agamasi Lane, Bangshal",3,4,1300 sqft,"৳28,000"
"Gulshan 2, Gulshan",4,4,3200 sqft,"৳300,000"
"Gulshan 2, Gulshan",3,4,4200 sqft,"৳300,000"
"Gulshan 2, Gulshan",4,4,5000 sqft,"৳420,000"
"Block K, Baridhara",4,4,3500 sqft,"৳300,000"
"Block D, Bashundhara R-A",3,3,2100 sqft,"৳50,000"
"Block D, Bashundhara R-A",3,3,2100 sqft,"৳50,000"
"Boro Maghbazar, Maghbazar",3,3,1350 sqft,"৳25,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"Tikatuli, Sutrapur",3,3,1800 sqft,"৳45,000"
"Gulshan 2, Gulshan",4,4,3850 sqft,"৳300,000"
"Gulshan 1, Gulshan",3,3,2508 sqft,"৳150,000"
"Block E, Aftab Nagar",3,3,1755 sqft,"৳30,000"
"Ahmed Nagar, Mirpur",3,3,1200 sqft,"৳20,000"
"Block E, Aftab Nagar",3,3,1440 sqft,"৳25,000"
"Purana Paltan, Motijheel",3,3,1400 sqft,"৳30,000"
"Block B, Banasree",2,2,1000 sqft,"৳25,000"
"Block A, Bashundhara R-A",3,5,2200 sqft,"৳35,000"
"Block A, Bashundhara R-A",3,5,2200 sqft,"৳35,000"
"Block A, Bashundhara R-A",3,4,2200 sqft,"৳35,000"
"Sector 10, Uttara",3,3,1500 sqft,"৳25,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Sector 11, Uttara",3,3,1550 sqft,"৳26,000"
"Road No 10, Baridhara",3,4,2667 sqft,"৳110,000"
"Bochila, Mohammadpur",3,3,1470 sqft,"৳20,000"
"Baitul Aman Housing Society, Adabor",3,3,1470 sqft,"৳20,000"
"Ahmed Nagar, Mirpur",3,3,1350 sqft,"৳20,000"
"Block J, Baridhara",4,4,2400 sqft,"৳65,000"
"Block C, Bashundhara R-A",4,5,3100 sqft,"৳60,000"
"Block E, Aftab Nagar",3,3,1450 sqft,"৳25,000"
"Block E, Aftab Nagar",3,3,1325 sqft,"৳20,000"
"Block E, Aftab Nagar",3,3,1520 sqft,"৳30,000"
"West Dhanmondi, Dhanmondi",3,4,1300 sqft,"৳35,000"
"Block E, Bashundhara R-A",3,3,1480 sqft,"৳37,000"
"Block E, Bashundhara R-A",3,3,1480 sqft,"৳37,000"
"Gulshan 2, Gulshan",5,5,4200 sqft,"৳150,000"
"Gulshan 2, Gulshan",4,4,4500 sqft,"৳260,000"
"Sector 9, Uttara",3,4,1700 sqft,"৳40,000"
"Sector 3, Uttara",3,3,1500 sqft,"৳30,000"
"Malibag Bazar Rd, Malibagh",3,3,1350 sqft,"৳25,000"
"Sector 14, Uttara",3,2,950 sqft,"৳25,000"
"Block B, Banasree",3,2,1100 sqft,"৳23,000"
"Gulshan 1, Gulshan",4,4,3100 sqft,"৳100,000"
"Merul Badda, Badda",3,3,1350 sqft,"৳30,000"
"Sector 11, Uttara",3,3,1415 sqft,"৳35,000"
"South Badda, Badda",3,3,1200 sqft,"৳35,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Block G, Banasree",3,3,1450 sqft,"৳25,000"
"Tajmahal Road, Mohammadpur",3,2,820 sqft,"৳22,000"
"Sector 11, Uttara",3,2,1450 sqft,"৳20,000"
"Block G, Banasree",3,3,1400 sqft,"৳25,000"
"Block E, Aftab Nagar",3,2,1200 sqft,"৳20,000"
"Road No 3, Baridhara",4,4,2700 sqft,"৳120,000"
"Gulshan 2, Gulshan",3,4,3200 sqft,"৳200,000"
"Sector 9, Uttara",2,2,850 sqft,"৳25,000"
"Sector 9, Uttara",3,4,1500 sqft,"৳27,000"
"Sector 3, Uttara",2,2,1200 sqft,"৳27,000"
"Ring Road, Shyamoli",3,4,1400 sqft,"৳30,000"
"Block A, Banasree",3,2,900 sqft,"৳22,000"
"Nikunja 2, Nikunja",2,2,720 sqft,"৳22,000"
"Block A, Aftab Nagar",3,4,1450 sqft,"৳25,000"
"Block D, Aftab Nagar",3,3,1650 sqft,"৳27,000"
"Humayun Road, Mohammadpur",2,2,700 sqft,"৳20,000"
"Block B, Aftab Nagar",4,3,1674 sqft,"৳35,000"
"Sector 4, Uttara",3,3,1500 sqft,"৳35,000"
"Ring Road, Shyamoli",3,3,1400 sqft,"৳27,000"
"Tilpapara, Khilgaon",3,2,1100 sqft,"৳20,000"
"Asad Avenue, Mohammadpur",3,4,1600 sqft,"৳40,000"
"Uttar Badda, Badda",3,2,1200 sqft,"৳30,000"
"Block J, Banasree",3,3,1200 sqft,"৳20,000"
"Lake Circus Road, Kalabagan",3,3,1300 sqft,"৳33,000"
"West Rampura, Rampura",3,3,1250 sqft,"৳30,000"
"West Rampura, Rampura",3,3,1250 sqft,"৳30,000"
"Khilbari Tek, Badda",3,3,1300 sqft,"৳24,000"
"Naya Paltan, Motijheel",3,4,1650 sqft,"৳35,000"
"Section 15, Mirpur",3,3,1575 sqft,"৳27,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
Agargaon,3,3,1250 sqft,"৳30,000"
Agargaon,3,3,1250 sqft,"৳30,000"
Agargaon,3,3,1250 sqft,"৳30,000"
"Nobodoy Housing Society, Mohammadpur",3,2,1150 sqft,"৳20,000"
"Bosila, Mohammadpur",3,2,1150 sqft,"৳22,000"
"Block D, Banasree",3,2,1200 sqft,"৳20,000"
"Asad Avenue, Mohammadpur",4,4,1900 sqft,"৳60,000"
"Block F, Banasree",3,4,1700 sqft,"৳30,000"
"Mohonpur Road, Shyamoli",3,3,1300 sqft,"৳26,000"
"Mohonpur Road, Shyamoli",3,3,1300 sqft,"৳25,000"
"Nurer Chala, Badda",3,3,1250 sqft,"৳22,000"
"Block C, Aftab Nagar",3,3,1000 sqft,"৳20,000"
"Ahmed Nagar, Mirpur",3,3,1250 sqft,"৳20,000"
"Middle Badda, Badda",3,3,1350 sqft,"৳28,000"
"Middle Badda, Badda",3,3,1350 sqft,"৳28,000"
"Sector 7, Uttara",3,3,1600 sqft,"৳60,000"
"Block I Extension, Bashundhara R-A",3,3,1500 sqft,"৳22,000"
"Sector 14, Uttara",3,3,1500 sqft,"৳35,000"
"Road No 4, Baridhara DOHS",4,4,2600 sqft,"৳90,000"
"Sector 6, Uttara",3,3,1450 sqft,"৳30,000"
"Road No 5, Baridhara DOHS",4,4,2700 sqft,"৳70,000"
"Gulshan 1, Gulshan",4,5,3400 sqft,"৳150,000"
"Gulshan 1, Gulshan",3,4,2350 sqft,"৳100,000"
"Block A, Aftab Nagar",3,2,900 sqft,"৳20,000"
"Sector 5, Uttara",3,4,1560 sqft,"৳35,000"
"Sector 12, Uttara",4,4,3000 sqft,"৳150,000"
"Middle Badda, Badda",3,3,1100 sqft,"৳22,000"
"Block G, Banasree",4,3,1650 sqft,"৳35,000"
"Sector 10, Uttara",3,3,1250 sqft,"৳22,000"
"Nurer Chala, Badda",3,3,1100 sqft,"৳22,000"
"aziz Moholla, Mohammadpur",3,3,1100 sqft,"৳21,000"
"Block E, Aftab Nagar",3,3,1600 sqft,"৳30,000"
"Block D, Aftab Nagar",3,3,1300 sqft,"৳20,000"
"Dhaka Housing Main Road, Shyamoli",3,3,1300 sqft,"৳27,000"
"Sector 5, Uttara",3,4,2100 sqft,"৳43,000"
"Faydabad, Dakshin Khan",3,3,1400 sqft,"৳20,000"
"Block B, Bashundhara R-A",4,4,2800 sqft,"৳72,000"
"Baitul Aman Housing Society, Adabor",3,3,1450 sqft,"৳27,000"
"Baitul Aman Housing Society, Adabor",3,3,1500 sqft,"৳20,000"
"Naya Paltan, Motijheel",3,2,1100 sqft,"৳30,000"
"Block J, Baridhara",3,4,2200 sqft,"৳50,000"
"Block K, Aftab Nagar",3,4,1400 sqft,"৳23,000"
"Block K, Aftab Nagar",3,4,1400 sqft,"৳23,000"
"Middle Badda, Badda",3,3,1340 sqft,"৳30,000"
"Middle Badda, Badda",3,3,1340 sqft,"৳30,000"
"Middle Badda, Badda",3,3,1340 sqft,"৳30,000"
"Middle Badda, Badda",3,3,1340 sqft,"৳30,000"
"Babar Road, Mohammadpur",3,3,1400 sqft,"৳30,000"
"Metropalitan Cooperative Society, Mohammadpur",3,3,1400 sqft,"৳25,000"
"Sector 7, Uttara",3,3,1600 sqft,"৳40,000"
"Baitul Aman Housing Society, Adabor",3,3,1350 sqft,"৳22,000"
"Baitul Aman Housing Society, Adabor",3,3,1250 sqft,"৳20,000"
"Baitul Aman Housing Society, Adabor",2,2,720 sqft,"৳20,000"
"Block G, Bashundhara R-A",3,3,1500 sqft,"৳25,000"
"Block C, Bashundhara R-A",4,4,3500 sqft,"৳110,000"
"Block C, Bashundhara R-A",4,4,3500 sqft,"৳110,000"
"Block C, Bashundhara R-A",4,4,3500 sqft,"৳110,000"
"Block F, Bashundhara R-A",3,3,1975 sqft,"৳35,000"
"Block E, Banasree",3,2,1000 sqft,"৳23,000"
"Gulshan 2, Gulshan",4,4,2750 sqft,"৳200,000"
"Block C, Bashundhara R-A",4,4,3500 sqft,"৳110,000"
"Block D, Bashundhara R-A",4,4,2500 sqft,"৳50,000"
"Sector 12, Uttara",3,4,2290 sqft,"৳55,000"
"Block G, Bashundhara R-A",3,3,1450 sqft,"৳26,000"
"Block K, Baridhara",4,5,3600 sqft,"৳220,000"
"Block K, Baridhara",3,3,2400 sqft,"৳125,000"
"Indira Road, Tejgaon",3,3,1650 sqft,"৳40,000"
"Block A, Aftab Nagar",3,3,1250 sqft,"৳25,000"
"Middle Badda, Badda",3,3,1250 sqft,"৳27,000"
"Block K, Baridhara",4,4,3500 sqft,"৳260,000"
"Sector 11, Uttara",4,4,2200 sqft,"৳50,000"
"Uttar Badda, Badda",3,2,1250 sqft,"৳22,000"
"Shahjadpur, Badda",3,3,1350 sqft,"৳30,000"
"Block A, Aftab Nagar",3,3,1400 sqft,"৳24,000"
"Sector 11, Uttara",2,2,700 sqft,"৳25,000"
"Block G, Banasree",3,3,1400 sqft,"৳25,000"
"Block C, Banasree",3,3,1700 sqft,"৳25,000"
"Block M, Banasree",4,4,1860 sqft,"৳35,000"
"Block M, Banasree",4,4,1860 sqft,"৳35,000"
"Block M, Banasree",4,4,1860 sqft,"৳35,000"
"Sector 12, Uttara",2,2,950 sqft,"৳20,000"
"Block J, Banasree",3,2,950 sqft,"৳21,000"
"Gulshan 2, Gulshan",4,4,4500 sqft,"৳350,000"
"Block I, Bashundhara R-A",3,3,1400 sqft,"৳30,000"
"Mirpur DOHS, Mirpur",4,4,2200 sqft,"৳50,000"
"Gulshan 1, Gulshan",4,4,3500 sqft,"৳100,000"
"Elephant Road, New Market",2,2,900 sqft,"৳27,000"
"Uttar Badda, Badda",3,2,1250 sqft,"৳22,000"
"Uttar Badda, Badda",3,2,1250 sqft,"৳22,000"
"Sector 12, Uttara",3,4,1800 sqft,"৳28,000"
"Old Eskaton, Eskaton",3,3,2150 sqft,"৳60,000"
"Sector 7, Uttara",3,3,1480 sqft,"৳50,000"
"Block K, Baridhara",4,4,4000 sqft,"৳420,000"
"Shah Kabir Mazar Road, Dakshin Khan",3,3,1150 sqft,"৳22,000"
"Gulshan 1, Gulshan",3,3,2400 sqft,"৳150,000"
"Sector 12, Uttara",3,4,2348 sqft,"৳75,000"
"Block E, Banasree",3,3,1500 sqft,"৳26,000"
"Sector 4, Uttara",3,4,3000 sqft,"৳65,000"
"Shahjahan Road, Mohammadpur",3,4,1880 sqft,"৳40,000"
"Block H, Bashundhara R-A",3,3,1550 sqft,"৳32,000"
"Block D, Banasree",3,3,1500 sqft,"৳30,000"
"Block D, Banasree",3,3,1500 sqft,"৳30,000"
"Shantibag, Malibagh",3,3,1300 sqft,"৳35,000"
"Shantibag, Malibagh",3,3,1300 sqft,"৳35,000"
"Sector 7, Uttara",3,4,2100 sqft,"৳50,000"
"Block F, Bashundhara R-A",3,3,1550 sqft,"৳50,000"
"Block H, Bashundhara R-A",4,5,3000 sqft,"৳100,000"
"Gulshan 1, Gulshan",3,3,2000 sqft,"৳80,000"
"Block K, Baridhara",3,3,2600 sqft,"৳150,000"
"Shahjadpur, Badda",3,3,1200 sqft,"৳25,000"
"Outer Circular Road, Maghbazar",3,3,1750 sqft,"৳35,000"
"West Rampura, Rampura",2,2,1000 sqft,"৳23,000"
"West Rampura, Rampura",3,3,1200 sqft,"৳27,000"
"West Rampura, Rampura",3,3,1170 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,4000 sqft,"৳190,000"
"PC Culture Housing, Mohammadpur",3,2,900 sqft,"৳23,000"
"Gulshan 2, Gulshan",4,4,4200 sqft,"৳350,000"
"Gulshan 1, Gulshan",4,4,3500 sqft,"৳90,000"
"Block K, Baridhara",3,3,3200 sqft,"৳250,000"
"Block K, Baridhara",4,5,4000 sqft,"৳380,000"
"Gulshan 2, Gulshan",3,3,2100 sqft,"৳100,000"
"Darussalam, Mirpur",3,3,1200 sqft,"৳20,000"
"Gulshan 1, Gulshan",4,4,3000 sqft,"৳200,000"
"Road No 2, Baridhara DOHS",3,3,1800 sqft,"৳55,000"
"Block B, Aftab Nagar",3,3,1600 sqft,"৳30,000"
"Gulshan 2, Gulshan",3,3,3000 sqft,"৳160,000"
"Gulshan 1, Gulshan",3,3,2200 sqft,"৳75,000"
"Gulshan 2, Gulshan",4,5,6852 sqft,"৳700,000"
"Sector 7, Uttara",3,2,1350 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,3000 sqft,"৳230,000"
"Outer Circular Road, Maghbazar",3,3,1700 sqft,"৳35,000"
"Ahmed Nagar, Mirpur",3,2,1450 sqft,"৳20,000"
"Block E, Bashundhara R-A",3,3,1480 sqft,"৳37,000"
"Block I, Bashundhara R-A",3,4,2400 sqft,"৳55,000"
"Sector 7, Uttara",3,3,1500 sqft,"৳60,000"
"Nobodoy Housing Society, Mohammadpur",3,3,1050 sqft,"৳20,000"
"Mansurabad Housing Society, Adabor",3,3,1200 sqft,"৳24,000"
"Block E, Aftab Nagar",3,3,1240 sqft,"৳21,000"
"North Adabor, Adabor",3,3,1500 sqft,"৳30,000"
"Block D, Bashundhara R-A",3,4,2318 sqft,"৳50,000"
"Block K, Baridhara",3,3,1921 sqft,"৳140,000"
"Road No 2, Shyamoli",3,3,1315 sqft,"৳21,000"
"PC Culture Housing, Mohammadpur",3,4,1250 sqft,"৳22,000"
"Section 1, Mirpur",3,3,1300 sqft,"৳20,000"
"Road No 12, Banani",3,3,2430 sqft,"৳110,000"
"Gulshan 2, Gulshan",4,4,7200 sqft,"৳380,000"
